Latitude,Longitude,Depth_m,Year,Sea_Surface_Temperature_C,Degree_Heating_Weeks,pH,Salinity_PSU,Turbidity_NTU,Coral_Cover_Percent,Marine_Heatwave,Bleaching_Risk,Bleaching_Label
23.7655,-90.2247,28.64,1997,29.53,1.69,7.904,33.98,5.42,24.4,False,14.36,0
-10.9198,140.64,28.93,2018,30.2,4.53,8.139,34.91,8.39,40.39,True,100.0,1
-23.3969,78.6713,17.12,2006,28.7,0.0,7.993,33.42,4.93,63.67,False,0.0,0
-16.3239,-153.7314,18.59,2015,29.57,1.36,7.821,33.32,4.9,54.88,False,22.15,0
-4.3735,115.6054,6.39,1994,29.13,0.59,7.975,34.21,12.96,50.99,False,8.75,0
19.0809,-2.5074,21.16,1993,27.18,0.0,8.187,33.57,1.91,70.99,False,0.0,0
21.6438,124.8419,3.05,2013,29.04,0.0,8.023,34.71,7.75,78.64,False,17.13,0
-29.5829,36.2663,9.26,2000,27.95,0.0,8.097,33.43,11.44,71.81,False,0.0,0
0.6448,65.4599,20.38,2019,30.28,4.0,7.866,35.35,14.37,36.49,True,71.45,1
-4.9553,177.6606,10.0,2022,28.85,1.59,7.978,34.97,13.28,60.92,False,0.4,0
-16.6735,-96.3592,2.45,2010,28.1,0.0,8.062,35.37,3.58,57.55,False,0.0,0
-22.8081,44.6204,25.12,1994,28.89,0.0,8.133,36.6,7.18,68.82,False,0.0,0
-9.7431,-14.2843,10.0,1994,26.34,0.0,8.221,34.38,8.93,69.14,False,0.0,0
26.5746,-165.7973,2.83,2010,30.29,4.4,7.966,34.07,5.21,77.28,True,100.0,1
-10.6078,-174.7906,3.17,2014,26.99,0.0,8.027,35.3,5.12,49.23,False,0.0,0
1.1274,-137.0777,8.3,1999,27.15,0.0,7.964,33.99,3.19,69.32,False,0.0,0
12.1811,53.673,6.16,2008,26.57,0.0,7.931,33.27,1.23,81.41,False,0.0,0
-8.1822,24.1787,23.45,2021,26.34,0.0,7.949,33.24,11.79,34.97,False,0.0,0
28.3069,19.2346,10.33,2007,27.46,0.0,8.046,33.26,6.99,47.6,False,0.0,0
27.7468,-168.5316,24.34,2023,29.39,2.69,8.006,33.95,13.14,57.07,True,65.3,1
-14.8931,-11.0509,6.04,2004,25.77,0.0,7.994,35.92,3.28,45.94,False,0.0,0
-0.1651,152.8642,15.29,2013,27.36,0.0,7.983,33.62,5.88,67.22,False,0.0,0
-11.9473,-36.8669,20.95,1994,29.31,0.0,8.122,34.03,5.65,38.03,False,0.0,0
-12.9096,44.9721,19.91,2021,27.92,0.0,8.034,36.44,9.28,81.49,False,6.51,0
-27.7868,100.7347,18.43,1998,27.55,0.0,8.009,34.75,7.58,47.78,False,0.0,0
6.5739,102.2131,27.82,1994,27.73,0.0,8.078,33.17,9.31,73.17,False,0.0,0
0.1607,6.9408,7.63,1994,27.54,0.0,7.924,33.99,5.64,78.28,False,0.0,0
-26.9113,128.8627,15.32,2023,28.05,0.0,8.064,34.2,14.15,34.42,False,0.0,0
-13.2812,-39.1039,26.64,1996,29.97,6.18,8.068,33.74,14.03,45.3,False,83.46,1
24.496,139.9296,3.26,2015,26.4,0.0,7.739,36.87,11.78,60.41,False,0.0,0
-15.6263,-93.5182,2.62,1990,30.6,4.68,8.049,34.63,14.94,21.16,True,99.82,1
-21.3063,-79.1221,7.77,2023,26.77,0.0,7.909,34.58,3.52,42.86,False,0.0,1
-0.6328,-160.8766,19.36,2015,28.79,0.0,8.063,36.91,6.77,54.3,False,12.73,1
29.139,106.4095,8.54,2021,29.67,2.37,7.938,35.2,9.66,54.4,True,56.14,1
-15.4767,-29.8601,6.52,2001,27.7,0.0,7.979,33.33,6.15,54.27,False,9.25,0
10.3281,-97.518,14.31,1995,27.32,0.0,8.02,34.77,3.8,61.46,False,0.0,0
15.6972,-96.5555,18.79,2009,30.17,6.42,7.949,35.62,1.13,38.45,False,77.34,1
-15.7417,144.504,8.21,2008,28.61,0.0,7.982,35.28,14.21,48.16,False,5.5,0
13.693,120.21,9.72,2005,27.98,0.0,8.084,36.38,3.84,50.44,False,0.0,1
-7.933,19.2711,18.79,1993,26.15,0.0,8.135,36.85,7.33,43.99,False,0.0,0
7.9383,41.7999,28.43,2021,29.58,2.69,7.932,33.23,0.82,28.73,False,22.23,0
8.0118,-9.2428,20.57,2007,27.91,0.0,8.085,34.02,8.3,56.26,False,0.0,0
2.1465,-39.0,23.7,1994,26.2,0.0,8.014,36.6,12.64,66.24,False,0.0,0
-24.5826,149.5717,11.64,1995,29.68,0.44,8.013,36.49,7.14,55.04,False,6.41,0
20.1181,-134.7794,8.9,2003,28.06,0.0,8.124,33.06,13.72,34.52,False,5.3,0
-10.7532,-29.3592,14.17,2007,27.63,0.0,8.096,35.31,3.6,37.37,False,0.0,0
-18.8089,-55.9577,24.41,1999,29.12,0.0,8.128,34.28,3.44,71.82,False,4.15,0
-27.5535,-0.6657,14.23,2012,30.26,4.52,8.085,35.12,9.18,33.09,True,79.64,0
5.4536,-15.2525,25.56,2007,26.43,0.0,7.966,33.88,12.25,22.3,False,0.0,0
10.6539,6.8002,29.67,1993,29.51,0.39,8.177,35.82,0.57,32.76,False,0.0,0
-29.0047,-129.6292,3.09,2021,30.88,6.05,8.086,34.33,4.18,50.4,False,100.0,1
0.7256,4.7309,2.32,1995,27.69,0.0,8.102,35.57,4.1,70.14,False,0.0,0
-16.4103,-92.7292,5.34,2015,27.91,0.0,7.952,33.3,7.92,41.18,False,0.0,0
8.7104,-113.6407,12.15,1995,29.01,0.0,8.138,36.85,9.45,83.65,False,0.0,0
-19.538,-156.6597,4.8,1994,28.42,0.0,8.084,34.01,8.37,39.67,False,5.16,0
11.4563,94.5549,26.25,2003,28.07,0.0,7.932,34.63,4.04,56.87,False,0.0,0
-6.7959,-26.1209,1.67,1991,28.42,0.0,8.296,34.52,13.13,53.22,False,12.57,0
26.2038,45.5917,10.16,2002,28.43,0.0,7.959,35.38,11.73,35.59,False,0.0,0
-21.7487,81.9336,6.36,1994,28.51,0.0,7.935,33.42,9.72,40.16,False,0.0,0
-9.536,64.554,28.01,2008,28.78,0.05,8.092,34.34,5.89,62.1,False,5.88,0
-23.1916,-10.6197,20.41,2009,28.23,0.0,8.032,36.52,5.26,30.1,False,0.0,0
25.4816,-40.3565,27.45,2011,28.75,0.0,7.918,34.59,11.26,54.51,False,2.24,0
22.6404,-44.6544,29.2,2020,27.38,0.0,8.12,33.95,2.28,55.82,False,0.0,0
-14.5235,50.4176,15.42,1993,27.61,0.0,8.109,36.61,0.99,49.73,False,0.0,0
9.599,-1.874,7.8,1992,27.42,0.0,7.991,35.34,14.53,72.98,False,0.0,0
19.0333,125.6876,6.62,2014,28.62,0.1,8.08,34.67,14.27,39.87,False,11.84,0
3.312,134.8927,7.46,1993,26.85,0.0,7.885,36.75,14.17,74.93,False,0.0,0
1.779,-118.5983,21.55,1996,27.78,0.0,7.979,35.79,8.44,64.89,False,0.0,0
-15.4889,-130.9559,2.17,1996,28.71,0.0,8.224,35.68,1.9,59.04,False,0.0,0
-24.4138,46.9443,2.49,2014,28.37,0.0,8.137,34.31,7.75,30.59,False,19.94,0
23.8329,-71.5587,18.64,2004,28.13,0.0,7.894,35.24,5.72,28.89,False,0.0,0
24.0251,-173.3145,19.62,1996,27.4,0.0,7.975,34.88,8.9,63.33,False,0.0,0
7.9861,139.9114,20.29,1993,29.89,3.16,7.946,34.6,13.55,52.3,False,58.03,1
-9.6582,-98.3157,11.78,2023,29.17,0.0,7.921,33.03,7.27,38.41,False,3.44,0
-9.0474,154.541,24.37,2008,25.92,0.0,7.892,34.18,12.35,35.95,False,0.0,1
13.5573,78.2764,16.48,2016,30.77,6.66,8.079,36.92,7.61,37.15,True,100.0,1
23.8266,94.5553,4.06,1994,26.76,0.0,8.062,36.12,14.3,43.77,False,0.0,0
23.2252,-107.4739,24.12,2002,28.53,0.0,7.861,35.46,7.34,66.7,False,0.0,0
16.7925,-95.69,28.64,2003,27.61,0.0,8.011,34.67,10.81,82.35,False,0.0,0
8.5219,7.6564,2.74,2019,26.67,0.0,7.963,33.31,7.13,55.85,False,0.0,0
-24.9516,-118.0441,12.35,1999,26.91,0.0,7.91,35.44,6.34,71.25,False,0.0,0
-20.3023,-70.0446,15.14,2021,29.46,0.92,7.903,34.09,11.36,41.03,False,5.59,0
23.9133,-64.2735,5.25,1990,26.59,0.0,8.061,35.3,11.3,45.5,False,0.0,0
6.3857,-122.5332,26.16,2013,28.78,0.0,7.969,36.79,3.65,45.77,False,0.0,0
-29.4482,-106.1342,9.24,2018,29.05,0.0,8.144,36.14,6.44,41.93,False,0.0,0
-23.9117,103.8787,23.71,1996,26.66,0.0,8.263,36.84,0.62,44.91,False,0.0,0
9.8101,-119.8095,20.46,2020,30.12,3.45,8.081,36.35,0.77,61.4,True,56.44,1
-29.6963,-169.7553,18.34,2006,26.2,0.0,8.216,33.35,2.6,74.27,False,0.0,0
-20.3515,46.5678,6.57,2019,27.54,0.0,8.064,33.39,11.56,45.32,False,0.0,0
2.924,171.3539,7.4,2014,30.41,4.36,7.903,35.71,1.59,52.75,True,100.0,1
11.5137,-60.763,2.37,2017,29.67,2.85,7.895,35.63,14.14,27.36,False,50.19,0
9.1177,-137.2839,7.98,1996,28.74,0.83,8.143,34.52,3.31,68.36,False,3.32,0
-16.5438,25.3394,11.02,2009,26.24,0.0,8.015,33.21,13.35,24.21,False,0.0,0
12.7308,146.2875,25.16,2003,30.13,6.18,8.05,35.86,14.28,29.36,True,100.0,1
-15.7651,102.2622,11.63,2019,27.18,0.0,7.963,33.42,6.7,53.31,False,0.0,0
-10.476,44.1057,22.88,1990,27.26,0.0,8.003,35.54,8.08,33.53,False,0.0,0
14.7895,-66.5797,13.74,2014,29.04,0.43,8.223,33.19,5.15,75.41,False,0.0,0
8.978,15.0769,23.76,2023,27.29,0.0,8.003,33.73,13.54,45.8,False,0.0,0
20.9534,-147.1519,29.31,1997,28.28,0.0,7.848,35.23,7.89,45.27,False,0.0,0
9.4568,64.4204,7.96,2009,28.58,0.0,8.084,35.39,14.73,47.14,False,20.27,0
4.0985,81.0346,26.01,2019,26.5,0.0,8.008,35.69,14.55,31.53,False,0.0,0
-24.3795,167.4114,19.03,1993,27.99,0.0,7.895,33.44,14.31,61.28,False,0.0,0
-7.9371,-86.257,24.7,2010,27.19,0.0,8.158,34.78,5.67,71.77,False,0.0,1
-14.0879,-173.3557,19.9,2016,30.51,5.55,8.117,33.54,1.69,55.16,True,100.0,1
-15.3606,16.419,13.29,1999,28.73,0.0,7.86,36.75,10.2,43.57,False,3.26,0
28.3806,74.4446,7.61,2012,27.53,0.0,8.174,36.34,13.16,52.53,False,0.0,0
-6.4141,104.5467,3.03,2022,28.08,0.0,7.987,35.26,5.64,55.56,False,0.0,0
23.5228,-110.254,16.53,2000,28.59,0.0,8.046,34.72,14.46,46.32,False,0.0,0
7.8683,-85.769,29.72,2008,29.27,0.0,7.974,34.3,13.71,54.0,False,0.0,0
17.6887,4.5327,22.4,2000,28.04,0.0,8.099,36.14,9.63,25.76,False,0.0,0
0.1582,-60.9837,10.49,1993,26.91,0.0,7.943,35.04,2.19,62.16,False,0.0,1
4.6142,129.7841,24.99,2012,29.86,4.2,7.83,33.05,13.44,45.54,True,77.31,1
-0.4489,-9.4463,23.3,1994,25.38,0.0,7.927,35.28,2.28,46.5,False,0.0,0
-18.2854,107.8483,9.17,1994,28.17,0.0,7.938,36.43,8.08,52.77,False,2.8,0
13.3471,29.0231,1.41,2007,28.2,0.0,8.208,35.43,0.78,64.97,False,0.0,0
-13.1537,98.3125,4.43,2006,28.48,0.0,7.819,33.28,2.74,39.88,False,0.0,0
-28.541,-60.2377,26.44,1992,27.45,0.0,8.054,35.36,8.67,56.61,False,0.0,0
8.7283,119.31,25.26,1997,28.8,1.2,8.106,36.0,0.52,78.67,False,5.35,0
-19.3734,-81.154,9.56,2012,31.08,5.03,7.921,35.95,2.7,69.28,False,53.6,0
26.4275,16.5956,9.27,2012,29.58,2.86,8.195,35.17,3.7,52.02,False,67.11,1
27.2357,-102.9574,23.99,1991,29.21,0.0,8.09,36.01,1.12,66.78,False,0.0,0
24.8919,-8.8105,28.19,2010,29.27,0.38,8.041,33.47,8.91,60.01,False,0.0,0
-7.7905,-65.4569,23.59,2013,28.06,0.0,8.0,34.05,11.58,49.69,False,0.0,0
-29.0726,-83.9868,18.56,2009,26.84,0.0,7.969,33.91,1.04,74.67,False,0.0,0
25.6991,168.1146,8.04,2016,30.4,4.64,7.916,34.39,6.54,39.25,True,100.0,1
-4.309,-122.3733,16.25,1996,28.98,1.99,8.027,35.55,8.37,84.21,False,31.21,0
27.9993,103.4373,7.77,2022,27.93,0.0,8.134,35.06,8.07,72.02,False,0.0,0
27.8172,174.2994,24.43,2018,28.52,0.0,7.914,34.87,7.53,43.77,False,0.0,0
21.1806,-172.8355,12.22,1999,28.11,0.0,8.188,35.26,1.89,65.94,False,0.0,0
-12.3331,71.6499,25.18,1999,26.62,0.0,8.067,34.6,4.11,69.21,False,0.0,0
-6.8941,-88.9517,12.07,2001,29.56,0.0,8.085,36.86,13.95,53.34,False,53.68,1
21.0682,-165.4244,24.9,1992,29.73,4.99,8.114,33.05,3.16,60.1,True,78.96,1
-10.9847,-34.9598,10.67,1992,26.59,0.0,8.025,34.23,11.87,38.32,False,0.0,0
-19.8304,156.6784,13.76,2002,26.41,0.0,7.888,36.94,2.63,38.93,False,0.0,0
3.4081,-175.7646,18.85,2020,27.61,0.0,7.998,36.7,11.25,59.91,False,0.0,1
26.1693,31.6388,3.04,2016,27.91,0.0,7.943,36.33,10.34,50.56,False,0.0,0
11.7618,0.5027,28.5,1995,26.59,0.0,8.137,33.62,14.89,52.82,False,0.0,0
4.2037,134.4183,17.63,2016,30.98,6.51,8.064,36.23,2.73,20.32,True,96.4,1
-24.1694,-149.7594,15.73,1998,28.02,0.0,7.968,33.37,4.5,75.86,False,0.0,0
6.9004,65.3494,25.34,1995,26.69,0.0,7.905,33.31,12.72,42.76,False,0.0,1
29.4032,64.8395,26.11,1995,26.89,0.0,8.191,33.32,8.58,58.16,False,0.0,0
-21.595,60.8688,16.15,2015,30.47,3.98,7.911,35.33,5.28,53.57,False,62.28,0
1.0998,159.2404,27.89,2008,29.61,3.07,7.839,35.76,2.68,44.02,False,10.09,0
22.6424,116.3115,2.88,2005,28.61,0.81,8.148,34.02,8.58,50.52,False,21.5,0
14.4461,-164.8898,4.28,2012,26.58,0.0,7.816,35.61,7.5,45.82,False,0.0,0
11.8209,-10.4102,18.31,2000,29.96,2.81,8.076,34.83,4.07,55.28,False,59.39,1
12.149,-36.7369,11.27,2005,27.74,0.0,7.898,36.89,9.62,46.41,False,0.0,0
-8.4305,-68.347,14.46,2018,29.02,1.03,8.082,34.38,10.4,48.75,False,28.5,1
-12.3845,-17.5188,10.51,2009,28.23,0.0,8.123,35.73,8.54,84.82,False,0.0,0
18.5617,-41.6901,12.74,2010,29.74,3.23,7.961,33.51,10.15,40.52,False,81.83,1
18.6068,-24.3598,24.86,2017,27.83,0.0,7.94,33.23,4.21,49.27,False,0.0,0
22.0243,172.5343,18.21,2022,29.6,2.07,8.069,35.5,13.62,29.87,False,39.08,1
24.7944,-148.0921,29.92,2015,30.3,5.07,7.852,34.01,1.27,63.42,False,66.97,1
0.6805,152.0031,23.82,1999,27.28,0.0,8.029,36.66,2.97,63.18,False,0.0,0
0.091,-7.1148,8.94,2023,27.21,0.0,8.11,33.06,3.73,76.27,False,0.0,0
