Latitude_Degrees,Longitude_Degrees,Depth_m,Date_Year,ClimSST,SSTA_DHW,target
-8.753,115.161,2,2010,262.15,4.49,1
18.45,-77.3167,30,1998,262.15,8.01,1
18.4794,-77.3287,6.5,1987,302.45,0,1
24.3669,124.0034,5,2016,299.48,11.5,1
24.4548,124.1098,10,2016,299.92,14.57,1
24.4826,124.1254,13,2016,299.86,13.64,1
24.4837,124.1232,12,2016,298.52,8.32,1
30.4577,130.4888,8,2016,299.41,8.15,1
30.4579,130.4889,6,2013,299.91,8.95,1
30.4581,130.4889,6,2016,299.41,8.15,1
30.4581,130.4889,8,2016,299.91,7.9,1
24.3661,124.0003,6,2016,299.48,11.5,1
30.4071,130.434,1,2008,262.15,2.01,1
30.4567,130.4982,10,2008,301.13,2.55,1
26.2328,127.3109,5,2016,299.15,10.65,1
24.8136,125.1447,0.5,2016,300.25,16.93,1
24.8614,125.2838,5,2013,300.95,5.96,1
24.937,125.2333,3,2015,301.98,8.58,1
26.3269,127.7443,4,2013,262.15,8.22,1
26.3271,127.7439,4,2013,262.15,8.22,1
26.3324,127.7423,1,2013,262.15,8.83,1
26.3326,127.7416,2,2013,262.15,8.83,1
26.362,127.7372,4,2013,262.15,8.83,1
26.5532,127.9696,3,2013,262.15,10.16,1
26.7155,128.0183,1,2016,298.87,9.42,1
32.7779,132.7321,2,2010,297.93,9.87,1
24.3094,124.1033,12,2016,299.35,12.26,1
24.3125,124.1029,13,2016,298.63,8.56,1
24.348,124.0922,3,2016,301.81,12.76,1
24.3637,124.0413,5,2016,299.53,7.95,1
24.3662,124.252,2,2016,300.74,14.77,1
24.3792,123.9384,2,2016,299.62,12.23,1
24.3884,124.1165,5,2016,262.15,13.89,1
24.3995,124.1,5,2016,300.2,12.94,1
24.4042,124.1129,6,2016,262.15,12.78,1
24.4156,124.1139,1,2016,262.15,13.71,1
24.4186,124.0662,5,2016,300.2,13.03,1
24.4215,124.0924,4,2016,262.15,13.11,1
24.4367,123.7763,1.5,2016,301.73,9.91,1
24.4504,124.1733,1,2016,262.15,12.16,1
24.4561,124.1862,2,2016,301.05,14.98,1
24.4578,124.1647,1,2016,300.45,12.82,1
24.4961,124.229,2,2016,300.47,10.28,1
24.6093,124.3254,1,2016,300.54,11.91,1
26.2762,127.7004,0.5,2013,262.15,6.38,1
26.287,127.7214,3,2013,300.41,6.88,1
26.3279,126.7603,2,2008,262.15,5.44,1
26.3515,127.7438,1,2013,262.15,6.28,1
26.4448,127.7695,0.2,2013,300.46,6.17,1
26.5075,127.8549,7,2007,301.58,0,1
26.5281,127.9242,3,2013,262.15,7.88,1
26.6416,127.8124,3,2009,301.34,1.16,1
26.6428,127.812,1.5,2009,301.34,1.16,1
24.3227,124.1665,10,2016,298.81,6.37,1
24.3254,124.1637,5,2015,302.11,6.72,1
24.3417,124.0881,5,2016,299.66,13.4,1
24.3431,124.205,8,2016,262.15,12.75,1
24.4376,123.785,2,2016,301.29,10.51,1
24.7628,125.4272,1,2016,299.9,15.55,1
24.7735,125.3945,1,2013,262.15,3.51,1
24.8195,125.1409,3,2016,301.35,17.12,1
24.9265,125.2379,3,2016,301.48,11.88,1
24.9375,125.2456,1,2013,301,4.07,1
24.9376,125.2457,2,2016,300.41,14.44,1
24.9856,125.2768,4,2016,299.78,17.1,1
25.0064,125.2768,4,2016,299.79,16.84,1
26.2208,127.6658,2,2015,262.15,2.8,1
26.4482,127.9048,2,2009,299.49,1.67,1
26.4933,127.8402,1,2016,262.15,11.59,1
26.5232,127.8929,3,2016,300.11,13.16,1
26.7059,127.8919,2,2016,301.09,10.43,1
26.7073,127.9402,1.5,2016,298.06,10.72,1
26.7751,128.2031,2,2013,262.15,11.15,1
27.8692,128.8875,2,2013,298.89,5.26,1
28.4025,129.4537,2,2013,262.15,6.62,1
30.3011,130.6537,0.5,2016,300.66,2.96,1
30.816,130.4165,2,2016,298.59,8.59,1
32.767,132.63,1,2016,296.06,4.58,1
32.7975,132.7091,4,2010,262.15,8.24,1
34.3232,129.246,1,2013,293.11,16.92,1
24.37,123.98,5,2008,302.08,1.28,1
36.75,137.4333,10,2001,262.15,6.69,1
4.27,113.81,8,2010,300.75,0,1
4.27,113.81,9,2010,303.6,5.01,1
4.27,113.81,8,2010,303.25,0,1
4.29,113.83,11,2009,303.21,3.28,1
4.27,113.82,3,2009,303.2,3.51,1
4.27,113.82,11,2009,303.2,3.51,1
4.4029,113.7453,22,2009,302.99,2.34,1
4.4037,113.742,21,2009,302.99,2.34,1
3,73.5,6.5,1998,302.29,7.64,1
5.0167,72.9167,6.5,1998,301.98,7.3,1
4.1667,73.5,1.15,1998,302.07,6.88,1
4.2833,73.4667,20,1998,302.01,10.91,1
3.9834,73.4262,30,1998,301.77,6.88,1
-19.638,63.396,1,2002,300.05,0,1
-12.8333,45.2167,12,1983,301.36,4.73,1
20.017,-87.462,13.7,2005,301.31,0,1
20.017,-87.462,8.8,2005,302.21,6.12,1
20.017,-87.462,8.95,2005,302.21,6.12,1
20.017,-87.462,8.65,2005,302.21,6.12,1
18.707,-87.706,9.6,2005,262.15,6.63,1
18.681,-87.713,8.55,2005,262.15,5.39,1
20.052,-87.466,7.6,2005,301.38,0,1
20.051,-87.463,14.3,2005,299.31,0,1
19.933,-87.432,18.15,2006,300.07,0,1
19.934,-87.434,10.25,2005,301.45,1,1
18.681,-87.714,6.1,2006,262.15,0,1
20.05,-87.47,3.4,2005,301.7,11.76,1
20.05,-87.47,4.3,2005,299.31,0,1
18.667,-87.717,5.2,2006,262.15,0,1
18.681,-87.711,15.15,2006,262.15,0,1
20.099,-87.462,7.45,2005,301.42,1.12,1
18.66,-87.716,18.75,2006,262.15,0.25,1
19.967,-87.461,2.25,2005,262.15,7.67,1
19.883,-87.426,5.95,2006,302.01,2.19,1
19.883,-87.426,6.1,2006,302.01,2.19,1
18.634,-87.72,5.5,2005,262.15,2.12,1
18.634,-87.72,4.8,2005,262.15,3.66,1
18.634,-87.72,9.85,2005,262.15,4.82,1
18.66,-87.709,10.15,2005,262.15,0.56,1
18.66,-87.709,16.1,2005,262.15,0.56,1
18.66,-87.709,10.7,2005,262.15,3.66,1
18.66,-87.709,15.15,2005,262.15,4.82,1
18.675,-87.707,16.15,2005,262.15,4.6,1
18.655,-87.71,11.3,2005,262.15,0.56,1
18.675,-87.708,9.1,2005,262.15,4.6,1
18.675,-87.708,11.3,2005,262.15,5.39,1
18.704,-87.704,9.75,2005,262.15,0.72,1
18.704,-87.704,5.1,2005,262.15,0.72,1
18.704,-87.704,7.45,2005,262.15,5.39,1
18.721,-87.692,4.65,2005,300.28,8.95,1
18.704,-87.702,14.95,2005,262.15,4.6,1
18.718,-87.693,10.05,2005,302.11,4.57,1
18.718,-87.692,16.05,2005,302.26,5.58,1
19.968,-87.452,18.6,2005,262.15,0.86,1
20.038,-87.466,8.2,2005,301.38,0,1
18.655,-87.709,21.2,2005,262.15,2.12,1
18.66,-87.719,5.2,2006,262.15,1.35,1
18.635,-87.722,5.5,2005,262.15,2.12,1
18.2667,-87.8333,5,1998,262.15,3.87,1
19.5,-87.3,5,1998,302.15,0,1
20.298,-87.02,4.5,2005,301.2,2.54,1
7.752,134.5763,7.5,1999,300.78,2.48,1
7.2143,134.2269,15.24,1998,302.27,18.49,1
7.8,-81.75,19,1997,300.8,18.94,1
7.3,-81.8,19,1997,300.39,24.3,1
-9.5111,147.179,1.52,2009,302.35,18.6,1
-2.6833,150.5667,12.5,1996,302.46,1.14,1
-9.4833,147.1833,10,1999,262.15,0.92,1
13.7246,120.8794,20,2010,262.15,0.91,1
12.05,122.9,28,1998,302.28,9.54,1
10.21,123.98,12,2008,302.24,0,1
11.15,123.8,9.5,2008,302.3,8.7,1
9.0889,118.2272,15,1998,301.81,5.86,1
13.54,120.76,15,1998,301.9,6.24,1
16.31,119.77,15,1998,302.44,9.04,1
9.868,122.38,12,1998,262.15,13.03,1
-21.0867,55.2407,0.7,2001,301.06,0,1
-9.33,50.73,16.5,1998,301.75,7.2,1
-9.31,50.71,16.5,1998,301.75,7.2,1
-7.01,52.73,13.5,1998,302.36,13.12,1
-4.35,55.65,7,1998,302.57,14.34,1
-7.0113,52.7348,15,1998,301.43,4.67,1
-9.2461,51.0431,15,1998,300.45,4.84,1
-9.2126,51.0359,15,1998,300.45,4.84,1
13.51,-61.4,21,2005,300.66,13.77,1
11.81,102.38,4.5,2008,301.58,0,1
8,98.33,1,1997,262.15,2.1,1
8,98.33,1,1997,262.15,3.58,1
8,98.33,1,1995,262.15,6.84,1
8.661,97.652,10,1995,302.61,5.78,1
9.41,97.896,6,1995,302.58,8.14,1
8.104,98.302,1,1991,262.15,11.75,1
11.297,-60.52,12,2005,300.27,11.84,1
11.291,-60.679,7,2005,300.16,8.73,1
11.155,-60.85,12,2005,300.32,4.36,1
25,55,4.5,2007,303.85,1.01,1
24.66,-81.07,2.25,2009,303.13,8.94,1
25.15,-80.28,5,1987,302.86,0,1
19.67,-156.03,10,2008,299.87,0,1
25.7,-80.097,8.5,2005,302.32,1.05,1
24.492,-81.888,6.8,2005,299.92,29.34,1
25.675,-80.098,10,2005,302.32,1.05,1
26.16,-80.083,13.6,2005,262.15,0.71,1
24.623,-81.111,14.2,2005,300.91,2.51,1
24.917,-80.545,6,2005,300.73,2.28,1
25.277,-80.227,1.6,2006,300.77,0,1
25.587,-80.096,3,2005,300.85,1,1
18.347,-64.988,2.5,2005,262.15,14.06,1
17.914,-67.223,12.75,2003,301.57,0,1
17.764,-64.57,8.5,2005,301.2,13.51,1
17.765,-64.574,6.4,2005,301.2,13.51,1
8.711,106.6497,15,1998,262.15,9.45,1
-28.6591,153.6335,15,1998,298.22,12.46,1
-26.6502,153.1824,15,1998,298.41,6.22,1
-26.65,153.3333,15,1998,298.61,8.69,1
-14.173,-169.634,7,2002,302.24,2.35,1
23.764,-76.12,17,1995,301.8,7.86,1
23.796,-76.137,3.5,1995,297.52,0,1
24.4994,-76.7142,9.5,1999,300.73,0,1
23.74,-76.066,4,1987,302.21,0,1
16,-88,2.5,2008,302.88,0,1
16.6186,-88.2309,3.05,1998,302.47,3.86,1
17.4833,-88.05,16,1998,302.23,1.4,1
16.77,-88.07,4.5,1998,301.36,4.4,1
32.43,-64.65,12.5,2000,300.56,5,1
3,-78.16,2.5,1998,300.59,42.93,1
11.3,-74.15,13.5,1999,262.15,4.93,1
15.2,145.7,5.5,2001,262.15,1.19,1
14.15,145.2,27.5,2001,262.15,0.43,1
15.2072,145.691,5,2001,302.1,1.04,1
18.0607,145.7421,6.5,2001,302.09,0,1
18.0707,145.7136,6.5,2001,262.15,0.41,1
18.0859,145.7299,6.5,2001,302.01,0,1
18.0967,145.7649,6.5,2001,302.06,1.13,1
18.1073,145.7858,6.5,2001,302.06,0,1
18.1197,145.7557,6.5,2001,302.06,1.13,1
18.1411,145.7586,6.5,2001,262.15,1.49,1
18.1666,145.7666,6.5,2001,302.09,3.36,1
18.7268,145.6634,6.5,2001,302,1.46,1
18.7483,145.6941,6.5,2001,302.07,2.19,1
18.7924,145.64,6.5,2001,302.19,0,1
18.8072,145.649,6.5,2001,302.19,0,1
19.6808,145.3921,6.5,2001,302.03,0,1
19.6998,145.4174,6.5,2001,302.07,0,1
19.702,145.3938,6.5,2001,302.03,0,1
20.014,145.2084,6.5,2001,302.06,0,1
20.0144,145.2342,6.5,2001,302.07,0,1
20.0175,145.2125,6.5,2001,302.06,0,1
20.0224,145.2298,6.5,2001,302.06,0,1
20.0232,145.2077,6.5,2001,302.06,0,1
20.0289,145.208,6.5,2001,302.06,0,1
20.0303,145.2272,6.5,2001,302.06,0,1
20.0357,145.2245,6.5,2001,302.06,0,1
20.538,144.8989,6.5,2001,301.95,1.3,1
20.5459,144.8858,6.5,2001,301.95,1.3,1
20.5532,144.8903,6.5,2001,301.95,1.3,1
14.5,145.2,2.5,2001,302.21,1.13,1
-1.2167,-90.3,1,1983,297.41,35.63,1
-17.565,177.2986,3.5,2000,301.42,0,1
-18.755,178.526,14.25,2000,299.98,5.36,1
-18.6,178.5,13,2000,299.25,8.51,1
-18.5,178,13,2000,299.52,5.76,1
-17.9167,178.5833,13,2000,299.34,9.32,1
-18.9,178.1,15,1999,298.67,1.25,1
16.3333,-86.4667,17.5,1998,302.38,4.15,1
17.93,-79.807,6.5,2005,302.02,1.28,1
24.4634,123.8022,5,2008,301.76,1.3,1
24.7668,125.2441,3,2007,301.77,1.09,1
26.2453,127.668,3,2009,299.06,1.35,1
26.2462,127.6679,3,2009,299.06,1.35,1
26.2479,127.6679,3,2009,299.06,1.35,1
26.4405,127.7772,4,2013,262.15,3.58,1
26.4436,127.7728,5,2008,301.74,10.58,1
26.4442,127.7727,2,2009,300.79,1.46,1
26.5326,128.0748,15,2016,299.35,11.79,1
30.4576,130.4899,12,2008,295.17,2.43,1
30.4578,130.4894,6,2008,301.78,3,1
32.7689,132.6389,2,2008,298.78,6.3,1
32.7735,132.627,5,2008,298.78,6.3,1
32.7736,132.6266,10,2010,297.18,6.45,1
32.7736,132.6272,2,2008,294.46,3.75,1
33.4571,135.7609,5,2007,262.15,6.73,1
33.4821,135.6952,4,2008,294.58,6.63,1
33.4914,135.6681,3,2008,298.46,7.23,1
33.5211,133.7537,2,2011,262.15,1.85,1
33.5212,133.7536,3,2010,262.15,6.99,1
33.6901,135.3315,4,2010,262.15,14.18,1
33.6906,135.336,3,2013,262.15,4.67,1
24.4398,124.0759,3,2009,262.15,0.39,1
24.7481,125.4427,3,2009,301.91,1.58,1
26.355,127.1427,0,2016,298.49,9.62,1
26.6321,142.1669,8,2007,300.71,0,1
30.7799,130.2851,14.5,2008,294.48,1.13,1
28.0729,129.3315,1,2016,300.71,12.33,1
34.6603,138.7884,3,2009,262.15,0,1
24.8136,125.1442,5,2016,300.84,15.78,1
26.3269,127.7442,2,2010,262.15,2.43,1
26.3269,127.745,5,2016,262.15,11.59,1
26.3271,127.7448,1,2013,262.15,8.22,1
26.4956,127.8389,1,2016,301.11,13.78,1
26.7146,128.0224,2,2016,301.6,10.75,1
26.7147,128.0144,1,2016,297.61,4.06,1
26.8474,128.288,1.5,2013,299.55,6.51,1
30.4545,130.4988,5,2008,295.17,2.43,1
32.7784,132.7325,1,2016,296.27,2.62,1
32.7788,132.7326,3,2016,297.93,2.62,1
24.2312,123.9935,6,2016,300.42,11.62,1
24.3098,124.1065,13,2016,300.38,14.19,1
24.3124,124.1045,12,2016,298.27,8.56,1
24.4162,124.1124,6,2016,262.15,12.88,1
24.4168,124.0792,10,2009,262.15,0.39,1
24.42,124.1139,15,2016,262.15,13.14,1
24.4234,124.0999,5,2016,262.15,12.36,1
24.4236,124.0777,10,2016,262.15,12.03,1
24.4243,124.0769,0.3,2010,262.15,0.19,1
24.4264,124.0719,5,2016,262.15,7.36,1
24.4271,124.1059,5,2016,262.15,9.05,1
24.4492,124.174,1,2009,262.15,0,1
24.4496,124.1757,1,2013,262.15,8.57,1
24.4501,124.1737,1.5,2016,262.15,11.76,1
24.4517,124.1836,1.5,2016,262.15,11.76,1
24.4518,124.0753,10,2009,262.15,0,1
24.4518,124.1834,2,2016,262.15,11.09,1
24.4521,124.1839,1.5,2016,262.15,11.76,1
24.4526,124.1839,1,2013,262.15,8.57,1
24.4543,124.0795,6,2010,298.1,0,1
24.4552,124.1865,2,2009,300.45,1.33,1
24.4553,124.1846,1,2016,300.13,13.34,1
24.4561,124.1864,1.5,2016,301.05,14.98,1
24.4563,124.1861,1,2016,301.74,13.44,1
24.4581,124.1952,1,2010,301.95,4.6,1
24.4591,124.2053,0.5,2010,301.63,1.15,1
24.4795,124.2182,1.2,2008,297.46,0,1
24.4861,124.2864,5,2010,297.9,7.55,1
24.609,124.3262,3,2016,301.36,10.37,1
24.6091,124.3261,2,2016,301.59,8.71,1
24.6144,124.3065,10,2009,300.78,2.55,1
26.0873,127.7102,0.5,2013,262.15,4.71,1
26.0877,127.7109,0.3,2016,262.15,13.18,1
26.0884,127.7078,2,2010,262.15,0,1
26.0887,127.7072,3,2013,262.15,4.71,1
26.0894,127.7085,2,2016,262.15,12.93,1
26.2582,127.6824,1,2013,301.22,2.43,1
26.2584,127.6821,1,2013,301.22,2.43,1
26.2595,127.6922,0.6,2010,298.09,4.09,1
26.273,127.7051,0.2,2013,262.15,6.38,1
26.2757,127.7015,0.3,2016,262.15,10.44,1
26.2763,127.7018,0.3,2016,262.15,18.76,1
26.3034,127.7209,6.5,2010,300.67,0,1
26.3608,126.8189,0.5,2008,301.62,4.54,1
26.3815,126.7901,5,2008,299.61,1.1,1
26.4063,127.715,2,2016,262.15,12.62,1
26.4363,127.7132,0.5,2016,300.8,12.3,1
26.4382,127.7131,0.1,2009,294.25,1.82,1
26.4418,127.7124,3,2013,300.46,4.21,1
26.5076,127.8906,2,2016,299.73,13.06,1
26.5544,128.1314,1,2013,299.34,2.3,1
26.559,127.9633,20,2008,262.15,11.64,1
26.5914,127.9598,1.5,2013,262.15,5.08,1
26.6032,127.9305,5,2013,262.15,8.05,1
26.6294,127.8589,3,2013,300.77,4.79,1
26.6458,127.8544,1,2013,301.07,3.14,1
26.6521,127.857,0.5,2013,300.06,5.88,1
26.6721,127.8827,2,2013,262.15,6.8,1
26.7001,127.8752,0.5,2013,262.15,7.97,1
26.7099,127.8813,1.5,2016,300.08,11.48,1
27.0445,142.1876,5,2008,300.57,0,1
28.4681,129.626,15,2005,301.46,0,1
24.0662,123.7621,2,2016,301.06,7.56,1
24.0753,123.7727,5,2008,301.72,1.07,1
24.2631,123.9955,5,2009,300.71,0,1
24.2801,123.721,8,2016,299.39,4.88,1
24.3349,124.2367,15,2016,300.43,15.32,1
24.3416,124.0743,2,2009,302.06,1.04,1
24.3593,124.2555,3,2013,300.43,4.41,1
24.3668,124.2556,1,2016,301.29,15.2,1
24.3671,124.2508,1,2016,302.05,13.03,1
24.4034,123.8901,12,2016,299.67,11.89,1
24.4389,123.808,7,2009,302.25,0,1
24.4483,124.0775,3,2008,262.15,1.82,1
24.449,123.8066,5,2008,301.78,3.15,1
24.7186,125.3427,2,2016,262.15,14.5,1
24.7194,125.3425,3,2016,262.15,14.24,1
24.7261,125.3729,6,2013,262.15,0,1
24.7284,125.4048,6,2013,262.15,0,1
24.7609,125.425,1,2013,300.53,3.7,1
24.7617,125.426,5,2009,299.9,1.58,1
24.7645,125.4258,2,2016,300.53,14.75,1
24.8133,125.143,0.8,2016,301.11,16.99,1
24.9264,125.2377,3,2016,300.41,14.44,1
24.9919,125.2794,2,2013,295.11,0,1
26.0865,127.7058,10,2007,262.15,1.11,1
26.087,127.7074,3,2010,262.15,3.57,1
26.1071,127.7466,5,2009,298.09,4.61,1
26.128,127.769,3,2009,262.15,1.16,1
26.1486,127.8155,1,2009,298.29,0,1
26.1688,127.3455,3,2007,262.15,5.38,1
26.1748,127.3401,8,2009,262.15,0,1
26.1758,127.2311,23,2008,297.4,2.8,1
26.201,127.2888,5,2007,299.56,0,1
26.203,127.2881,1,2008,301.34,3.2,1
26.2147,127.2917,10,2004,301.66,0,1
26.2567,127.4027,4,2013,300.58,5,1
26.2737,127.9688,5,2009,301.55,0,1
26.3083,127.8597,1,2007,299.01,0,1
26.3083,127.8601,0.1,2010,298.46,4.22,1
26.3087,127.8631,1,2013,262.15,4.21,1
26.3554,126.8536,10,2013,300,4.45,1
26.4478,127.7885,20,2008,262.15,6.62,1
26.5024,127.842,4,2016,300.82,14.42,1
26.5037,127.8436,4,2016,300.82,14.42,1
26.5052,127.8497,3,2013,299.36,5.71,1
26.5379,128.08,1.5,2013,262.15,2.59,1
26.6311,127.8852,3,2013,262.15,6.76,1
26.6359,127.8657,2,2016,262.15,13.26,1
26.6361,127.8658,0,2013,262.15,5.58,1
26.6977,128.0136,1.5,2016,300.48,12.87,1
26.7343,127.7885,25,2007,262.15,0,1
26.7346,127.789,15,2008,262.15,5.8,1
26.7793,128.211,0.2,2013,262.15,9.78,1
27.1032,142.2076,5,2008,300.68,3.66,1
27.1049,142.205,5,2008,300.68,3.66,1
28.0706,129.3275,0.5,2013,298.67,9.56,1
28.1189,129.3044,2,2008,262.15,3.62,1
28.2043,129.2716,1,2016,262.15,9.96,1
30.2211,130.4297,3,2008,295.63,1.08,1
30.4693,130.2314,12,2008,295.33,1.23,1
32.6586,128.66,2,2013,262.15,12.35,1
32.7658,132.8728,8,2010,296.34,12.68,1
32.8029,131.9653,2,2010,262.15,5.75,1
33.6367,134.4856,10,2008,294.78,6.51,1
33.7691,129.6547,3,2013,262.15,18,1
33.8065,129.6676,2,2013,262.15,20.76,1
34.0124,136.2606,3,2006,299.6,0,1
34.0545,139.4805,5,2013,296.3,11.97,1
34.0559,139.4807,2,2013,296.3,11.97,1
34.1056,129.174,3,2013,293.51,17.18,1
34.4236,129.2664,3,2013,291.59,18.57,1
34.6081,138.824,5,2009,298.46,5.82,1
34.6627,138.7854,3,2008,262.15,7.5,1
28.2667,129.35,1.5,2001,262.15,4.88,1
6.0361,116.0322,1.5,1998,303.92,2.53,1
3.425,73.422,5.5,2003,302.08,3.69,1
19.8833,-87.4261,6.1,2006,302.01,2.19,1
19.8833,-87.4261,3.05,2005,302.01,1.02,1
19.9667,-87.4531,10.8,2006,262.15,0,1
19.9667,-87.4531,8.8,2005,262.15,5.2,1
19.9667,-87.4531,10.4,2005,262.15,4.39,1
19.9667,-87.4531,8.8,2005,262.15,4.39,1
19.9667,-87.4531,9.95,2005,262.15,4.39,1
19.9667,-87.4531,9.45,2005,262.15,0,1
18.7066,-87.704,14.3,2006,262.15,0,1
18.7066,-87.704,15,2006,262.15,0,1
18.7066,-87.704,15.4,2005,262.15,1.32,1
18.7066,-87.704,13.4,2005,262.15,1.32,1
19.934,-87.4336,12.65,2006,300.07,0,1
19.934,-87.4336,12.2,2004,300.9,1.01,1
19.7864,-87.4263,19.8,2004,300.87,0,1
19.9729,-87.4528,17.6,2006,262.15,0,1
18.724,-87.6968,8.2,2005,300.28,8.95,1
20.0995,-87.4625,9.9,2005,299.52,0,1
20.0995,-87.4625,8.5,2005,302.1,4.27,1
20.0995,-87.4625,9.9,2004,300.81,0,1
20.0995,-87.4625,10,2004,300.81,0,1
20.0995,-87.4625,8.05,2005,299.49,0,1
19.9333,-87.4321,15.85,2005,302.09,3.18,1
19.9333,-87.4321,18.3,2005,301.57,7.61,1
19.9333,-87.4321,18.6,2005,301.57,7.61,1
19.9333,-87.4321,15.2,2004,300.9,1.01,1
19.9333,-87.4321,20,2004,300.9,1.01,1
20.0375,-87.4662,8.8,2005,301.38,0,1
20.0375,-87.4662,10.25,2006,301.38,0,1
20.0375,-87.4662,8.8,2004,300.11,2.17,1
18.7069,-87.7058,9.2,2006,262.15,0,1
18.7069,-87.7058,10.05,2006,262.15,0,1
18.7069,-87.7058,12.5,2005,262.15,1.08,1
18.7069,-87.7058,9.6,2005,262.15,6.63,1
18.6809,-87.7126,10,2006,262.15,0,1
18.6809,-87.7126,8.95,2005,262.15,0.72,1
20.052,-87.4663,6.3,2006,299.66,0,1
20.052,-87.4663,6.1,2005,301.38,0,1
20.052,-87.4663,7.6,2005,301.38,0,1
20.052,-87.4663,6.4,2005,302.15,6.73,1
20.052,-87.4663,8.8,2004,300.97,3.37,1
20.052,-87.4663,5.05,2005,299.31,0,1
20.0514,-87.4628,12.6,2006,299.66,0,1
20.0514,-87.4628,11.45,2005,301.86,0,1
20.0514,-87.4628,13.4,2005,301.7,11.76,1
20.0505,-87.4704,3.4,2005,301.7,11.76,1
20.0505,-87.4704,3.55,2005,301.7,11.76,1
20.0505,-87.4704,3.7,2004,300.97,3.37,1
19.8805,-87.412,20.1,2005,302.32,2.17,1
19.8805,-87.412,18.6,2004,300.86,0,1
